alex 256*256 batch_size = 4, 0.4均分  1e-6
alex 256*256 batch_size = 4, 0.4均分  1e-6

test [28/80] loss: 0.511, acc 0.9041, best_acc 0.9137

train [28/80] loss 0.1255, acc 0.8544, best_epoch 26

test [29/80] loss: 0.503, acc 0.9129, best_acc 0.9137

train [29/80] loss 0.1171, acc 0.8763, best_epoch 26

test [30/80] loss: 0.469, acc 0.9208, best_acc 0.9208

train [30/80] loss 0.1197, acc 0.8658, best_epoch 29

test [31/80] loss: 0.480, acc 0.9168, best_acc 0.9208

train [31/80] loss 0.1175, acc 0.8699, best_epoch 29

test [32/80] loss: 0.471, acc 0.9203, best_acc 0.9208

train [32/80] loss 0.1161, acc 0.8679, best_epoch 29

test [33/80] loss: 0.465, acc 0.9159, best_acc 0.9208

train [33/80] loss 0.1110, acc 0.8824, best_epoch 29

test [34/80] loss: 0.444, acc 0.9111, best_acc 0.9208

train [34/80] loss 0.1085, acc 0.8941, best_epoch 29

test [35/80] loss: 0.435, acc 0.9164, best_acc 0.9208

train [35/80] loss 0.1016, acc 0.9005, best_epoch 29

test [36/80] loss: 0.407, acc 0.9146, best_acc 0.9208

train [36/80] loss 0.0992, acc 0.9014, best_epoch 29

test [37/80] loss: 0.397, acc 0.8888, best_acc 0.9208

train [37/80] loss 0.0979, acc 0.9020, best_epoch 29

test [38/80] loss: 0.392, acc 0.9212, best_acc 0.9212

train [38/80] loss 0.0931, acc 0.9107, best_epoch 37

test [39/80] loss: 0.373, acc 0.9168, best_acc 0.9212

train [39/80] loss 0.0926, acc 0.9102, best_epoch 37

test [40/80] loss: 0.371, acc 0.9142, best_acc 0.9212

train [40/80] loss 0.0936, acc 0.9151, best_epoch 37

test [41/80] loss: 0.375, acc 0.9085, best_acc 0.9212

train [41/80] loss 0.0900, acc 0.9201, best_epoch 37

test [42/80] loss: 0.360, acc 0.9208, best_acc 0.9212

train [42/80] loss 0.0869, acc 0.9239, best_epoch 37

test [43/80] loss: 0.348, acc 0.9378, best_acc 0.9378

train [43/80] loss 0.0839, acc 0.9291, best_epoch 42

test [44/80] loss: 0.336, acc 0.9203, best_acc 0.9378

train [44/80] loss 0.0806, acc 0.9387, best_epoch 42

test [45/80] loss: 0.323, acc 0.9190, best_acc 0.9378

train [45/80] loss 0.0792, acc 0.9393, best_epoch 42

test [46/80] loss: 0.317, acc 0.9168, best_acc 0.9378

train [46/80] loss 0.0746, acc 0.9489, best_epoch 42

test [47/80] loss: 0.299, acc 0.9243, best_acc 0.9378

train [47/80] loss 0.0780, acc 0.9417, best_epoch 42

test [48/80] loss: 0.312, acc 0.9164, best_acc 0.9378

train [48/80] loss 0.0735, acc 0.9463, best_epoch 42

test [49/80] loss: 0.294, acc 0.9221, best_acc 0.9378

train [49/80] loss 0.0711, acc 0.9589, best_epoch 42

test [50/80] loss: 0.285, acc 0.9273, best_acc 0.9378

train [50/80] loss 0.0671, acc 0.9589, best_epoch 42

test [51/80] loss: 0.269, acc 0.9146, best_acc 0.9378

train [51/80] loss 0.0673, acc 0.9562, best_epoch 42

test [52/80] loss: 0.270, acc 0.9199, best_acc 0.9378

train [52/80] loss 0.0654, acc 0.9670, best_epoch 42

test [53/80] loss: 0.262, acc 0.9335, best_acc 0.9378

train [53/80] loss 0.0617, acc 0.9694, best_epoch 42

test [54/80] loss: 0.247, acc 0.9212, best_acc 0.9378

train [54/80] loss 0.0638, acc 0.9644, best_epoch 42

test [55/80] loss: 0.256, acc 0.9339, best_acc 0.9378

train [55/80] loss 0.0607, acc 0.9720, best_epoch 42

test [56/80] loss: 0.243, acc 0.9304, best_acc 0.9378

train [56/80] loss 0.0620, acc 0.9688, best_epoch 42

test [57/80] loss: 0.248, acc 0.9352, best_acc 0.9378

train [57/80] loss 0.0596, acc 0.9697, best_epoch 42

test [58/80] loss: 0.239, acc 0.9339, best_acc 0.9378

train [58/80] loss 0.0551, acc 0.9767, best_epoch 42

test [59/80] loss: 0.221, acc 0.9326, best_acc 0.9378

train [59/80] loss 0.0558, acc 0.9758, best_epoch 42

test [60/80] loss: 0.224, acc 0.9098, best_acc 0.9378

train [60/80] loss 0.0566, acc 0.9737, best_epoch 42

test [61/80] loss: 0.227, acc 0.9335, best_acc 0.9378

train [61/80] loss 0.0545, acc 0.9793, best_epoch 42

test [62/80] loss: 0.218, acc 0.9400, best_acc 0.9400

train [62/80] loss 0.0527, acc 0.9810, best_epoch 61

test [63/80] loss: 0.211, acc 0.9418, best_acc 0.9418

train [63/80] loss 0.0533, acc 0.9796, best_epoch 62

test [64/80] loss: 0.213, acc 0.9251, best_acc 0.9418

train [64/80] loss 0.0505, acc 0.9831, best_epoch 62

test [65/80] loss: 0.202, acc 0.9339, best_acc 0.9418

train [65/80] loss 0.0513, acc 0.9825, best_epoch 62

test [66/80] loss: 0.206, acc 0.9046, best_acc 0.9418

train [66/80] loss 0.0513, acc 0.9805, best_epoch 62

test [67/80] loss: 0.205, acc 0.9400, best_acc 0.9418

train [67/80] loss 0.0518, acc 0.9816, best_epoch 62

test [68/80] loss: 0.207, acc 0.9361, best_acc 0.9418

train [68/80] loss 0.0503, acc 0.9810, best_epoch 62

test [69/80] loss: 0.201, acc 0.9396, best_acc 0.9418

train [69/80] loss 0.0492, acc 0.9837, best_epoch 62

test [70/80] loss: 0.197, acc 0.9413, best_acc 0.9418

train [70/80] loss 0.0477, acc 0.9840, best_epoch 62

test [71/80] loss: 0.191, acc 0.9286, best_acc 0.9418

train [71/80] loss 0.0486, acc 0.9851, best_epoch 62

test [72/80] loss: 0.195, acc 0.9387, best_acc 0.9418

train [72/80] loss 0.0486, acc 0.9863, best_epoch 62

test [73/80] loss: 0.195, acc 0.9352, best_acc 0.9418

train [73/80] loss 0.0478, acc 0.9840, best_epoch 62

test [74/80] loss: 0.191, acc 0.9435, best_acc 0.9435

train [74/80] loss 0.0448, acc 0.9877, best_epoch 73

test [75/80] loss: 0.179, acc 0.9405, best_acc 0.9435

train [75/80] loss 0.0486, acc 0.9822, best_epoch 73

test [76/80] loss: 0.195, acc 0.9247, best_acc 0.9435

train [76/80] loss 0.0455, acc 0.9892, best_epoch 73

test [77/80] loss: 0.182, acc 0.9282, best_acc 0.9435

train [77/80] loss 0.0450, acc 0.9877, best_epoch 73

test [78/80] loss: 0.180, acc 0.9208, best_acc 0.9435

train [78/80] loss 0.0440, acc 0.9880, best_epoch 73

test [79/80] loss: 0.176, acc 0.9203, best_acc 0.9435

train [79/80] loss 0.0438, acc 0.9872, best_epoch 73

test [80/80] loss: 0.176, acc 0.9295, best_acc 0.9435

